No,Route No,Service,Route Grade,Daily Operation,Number of Turn,KM,Daily Running to KM,SC 50-60,40-49,30-39,20-29,Total Buses,Check Sum
57,135,Kelaniya - kohuwala,A,28,228,17.5,1601,8,22,,,30,30
58,138,Kadawatha - fort,A,49,92,16.8,1646,13,50,1,,64,64
59,138,Homagama - pettah,A,68,272,25,13600,51,27,,,78,78
60,138,Homagama - pettah,A,1,2,25,100,,,,1,1,1
61,138,Kottawa - pettah,A,,2,20,240,,,,4,4,4
62,138,Kottawa - pettah,A,55,208,20,8320,41,28,,,69,69
63,138,Maharagama - pettah,A,43,210,16,6720,27,28,,,55,55
64,138,Kadawatha - fort,A,2,,,,,2,,,2,2
65,138/1,Kirillawala - fort,A,17,25,22.1,750,11,17,,,28,28
66,138/2,Matthegoda - pettah,A,24,78,25,3600,17,13,,,30,30
67,138/2,Matthegoda - pettah,A,2,6,25,150,,,2,,2,2
68,138/3,Rukmalgama - pettah,A,13,39,28,2184,17,20,,,37,37
69,138/4,Authurugiriya - pettah,A,17,46,30,2741.6,21,3,,,24,24
70,138/5,Mullegama - maharagama,A,1,3,12,72,1,,,,1,1
71,138/6,Ranmuthugala - fort,AB,,2,22,44,,1,,,1,1
72,139,Kahathuduwa - kalubowila,A,1,115,16,3680,1,5,,,6,6
73,139/1,Piliyandala - kalubowila,AB,15,95,9,1710,2,23,,,25,25
74,139/3,Piliyandala-koralaima,C,1,8,11.3,180.8,,2,,,2,2
75,140,Wellampitiya - kollupitiya,A,9,7,8.6,113,,14,,,14,14
76,141,Wellawattha - narahenpita,A,21,66,4.7,3523.8,12,10,,,22,22
77,142,Moratuwa - panadura,A,7,42,6.5,546,2,9,,,11,11
78,142,Panadura-moratuwa,A,8,25,6.9,345,,9,,,9,9
79,143,Hanwella - pettah,A,32,90,28,5040,18,18,,,36,36
,,,,,,,,,,,,,
80,143,Kaduwela - pettah,A,23,111,13,2886,12,13,,,25,25
81,144,Rajagiriya - pettah,A,16,88,7,1232,8,19,,,27,27
82,145,Mattakkuliya - seemamalakaya,A,24,66,8.5,13464,3,25,,,28,28
83,147,Mt.lavinia - bakery junction,AB,8,34,2.7,183.6,0,3,7,,10,10
84,148,Labugama - pettah,A,5,12,42.5,1020,13,,,,13,13
85,149,Piliyandala - bandaragama,AB,7,16,13,558,,8,2,1,11,11
86,149/2,Piliyandala - homagama,B,1,5,16,160,,1,,,1,1
87,150,Kelaniya - seemamalakaya,A,9,26,15,754,8,9,,,17,17
88,152,Koswattha - pettah,A,1,4,12,48,,1,,,1,1
89,152,Gothatuwa - pettah,A,14,38,10.4,790.4,4,15,,,19,19
90,152,Battharamulla - pettah,A,11,43,15,1290,2,11,,,13,13
91,153,Jayawardhananpura hospital - borella,A,10,52,11,1123.2,3,12,,,15,15
92,154,Kiribathgoda - angulana,A,67,156,26.3,10799,20,53,,,73,73
93,155,Soyzapura - mattakkuliya,A,,,,,,,,,0,0
94,155,Soyzapura - mattakkuliya,A,37,70,22.8,54264,6,44,,,50,50
95,157,Piliyandala - kahapola,A,16,57,9,1026,2,15,,,17,17
96,157/1,Piliyandala - makandana,B,2,30,4.2,252,,4,1,,5,5
97,157/2,Gedabuwana - piliyandala,B,2,28,1.5,84,,,2,,2,2
98,158,Moratuwa - piliyandala,B,8,78,7,546,2,11,4,,17,17
99,158/1,Moratuwa - parattha,,,,,,,,,,0,0
100,161,Angulana - galle road,B,7,84,1.9,319.2,,,7,,7,7
101,162,Bandaragama - pettah,A,7,13,35.9,933.4,,,1,10,11,11
102,162,Bandaragama - pettah,A,20,34,35.9,2441.2,,,1,25,26,26
103,162/1,Bandaragama - piliyandala,A,17,112,15.3,2556.4,6,14,,,20,20
104,162/2,Piliyandala - ambalangoda,B,6,64,8,1024,2,7,,,9,9
105,162/3,Piliyandala-karandeniya,B,1,16,3,96,,,1,,1,1
106,162/3,Atulugama - pettah,A,1,2,40,160,,1,,,1,1
107,162/4,Piliyandala - gangabada road,C,1,18,1.5,54,,,1,1,2,2
108,163,Wideshasewa - dehiwala,A,34,180,12.2,5033.8,14,28,,,42,42
109,164,Salmaluyana - townhall,A,20,38,13,972.8,10,30,,,40,40
110,166,Angoda - slave island,A,16,56,13,1433.6,17,15,,,32,32
111,168,Nugegoda - kotahena,A,8,25,17,840,8,11,,,19,19
112,170,Malabe - pettah,A,1,2,13,52,1,1,,,2,2
113,170,Authurugiriya - pettah,A,24,186,20.6,7663.2,27,10,,,37,37
114,171,Pelawattha - fort,A,18,100,12.1,2420,2,26,,,28,28
115,172,Moragasmulla - borella,A,,2,4.4,17.6,2,,,,2,2
116,173,Nugegoda - thotalaga,A,1,4,20,80,1,,,,1,1
117,174,Kottawa - borella,A,35,134,15,3886,23,17,,,40,40
118,175,Kohilawattha - kollupitiya,A,21,55,13,1463,13,21,,,34,34
119,176,Nugegoda - hettiyawattha,A,28,133,13,12409.6,8,26,,,34,34
120,176,Karagampitiya - hettiyawattha,A,47,158,36.4,42205.8,23,36,,,59,59
121,177,Kaduwela - kollupitiya,A,42,147,19,5605,18,31,,,49,49
122,177,Kaduwela - kollupitiya,A,19,76,19,5776,,,9,24,33,33
123,178,Narahenpita - mattakkuliya,A,26,65,11,18590,2,25,,,27,27
124,180,Nittambuwa - pettah,A,32,65,43.1,4357.5,40,10,,,50,50
125,180,Nittambuwa - pettah,A,12,20,39,936,,,6,22,28,28
126,180/2,Ranpokunugama - pettah,A,1,4,45,180,1,,,,1,1
127,181/1,Gampaha - gorakadeniya,B,3,4,13.5,112,2,,5,,7,7
128,182,Nittambuwa - kiridiwela,A,21,4,16.2,680,12,17,,,29,29
129,182,Padukka - hanwella,A,15,60,8,960,2,18,,,20,20
130,182,Kiridiwela - hanwella,A,26,48,17.1,885,9,27,1,,37,37
131,182/1,Weyangoda - ranpokunugama,B,2,6,10.5,44,,2,2,,4,4
132,182/3,Weyangoda - naduwatta,B,,,,,,,,,,0
133,182/3,Nittabuwa - naduwatta,,1,102,15,30,,1,,,1,1
134,183,Panadura - nugegoda,A,28,61,23.1,2674.2,7,32,,,39,39
